"","date","Category","Index_NSA","Relative_Importance"
"1",2017-12-01,"All",246.524,NA
"2",2018-01-01,"All",247.867,100
"3",2018-02-01,"All",248.991,101.000713926433
"4",2018-03-01,"All",249.554,101.22908925703
"5",2018-04-01,"All",250.546,101.631484155701
"6",2018-05-01,"All",251.588,102.054161055313
"7",2018-06-01,"All",251.989,102.216822702861
"8",2018-07-01,"All",252.006,102.223718583181
"9",2018-08-01,"All",252.146,102.280508185816
"10",2018-09-01,"All",252.439,102.39936071133
"11",2018-10-01,"All",252.885,102.580276159725
"12",2018-11-01,"All",252.038,102.236699063783
"13",2018-12-01,"All",251.233,101.910158848631
"14",2019-01-01,"All",251.712,102.104460417647
"15",2019-02-01,"All",252.776,102.536061397673
"16",2019-03-01,"All",254.202,103.114504064513
"17",2019-04-01,"All",255.548,103.660495529847
"18",2019-05-01,"All",256.092,103.881163700086
"19",2019-06-01,"All",256.143,103.901851341046
"20",2019-07-01,"All",256.571,104.075465269102
"21",2019-08-01,"All",256.558,104.070191948857
"22",2019-09-01,"All",256.759,104.15172559264
"23",2019-10-01,"All",257.346,104.389836283688
"24",2019-11-01,"All",257.208,104.333857961091
"25",2019-12-01,"All",256.974,104.238938196687
"26",2020-01-01,"All",257.971,100
"27",2020-02-01,"All",258.678,100.663102103715
"28",2020-03-01,"All",258.115,100.444013791278
"29",2020-04-01,"All",256.389,99.7723505101684
"30",2020-05-01,"All",256.394,99.7742962323037
"31",2020-06-01,"All",257.797,100.320265863473
"32",2020-07-01,"All",259.101,100.827710196362
"33",2020-08-01,"All",259.918,101.145641193272
"34",2020-09-01,"All",260.28,101.286511475869
"35",2020-10-01,"All",260.388,101.328539073992
"36",2020-11-01,"All",260.229,101.266665110089
"37",2020-12-01,"All",260.474,101.362005494719
"38",2021-01-01,"All",261.582,101.793177519905
"39",2021-02-01,"All",263.014,102.350432339458
"40",2021-03-01,"All",264.877,103.075408407076
"41",2021-04-01,"All",267.054,103.922575824792
"42",2021-05-01,"All",269.195,104.755734043133
"43",2021-06-01,"All",271.696,105.728984255216
"44",2021-07-01,"All",273.003,106.237596021387
"45",2021-08-01,"All",273.567,106.457073478251
"46",2021-09-01,"All",274.31,106.746207787558
